average(station_latitude),average(station_longitude)
18.5577799994,6.0269922351
-50.649798482,-26.337952711
-50.3487857143,-26.3110884902
46.5093076883,-122.1204352557
44.7390770761,-110.8877917355
37.2162791065,-119.3959192983
40.779861496,-111.6197366933
62.3776927117,-148.3445838959
19.467078534,-155.4209746708
36.4015400819,-89.5566109928
49.069838388,-125.1526037927
41.7861537795,-112.2873704465
62.3876429422,-142.6823654004
64.0366999761,-154.7483404721
19.1531718434,-66.5433350093
39.6629797843,-111.2847551799
53.4880217371,-166.6587308966
51.8121365861,-175.7759676621
33.7007423077,-109.1357770866
64.4864154951,-153.9897244205
35.6339065717,-92.1170876712
57.8367128421,-155.1978399229
42.9138187717,-111.8069653493
46.2702567923,-111.4596281847
36.5244628581,-97.4728639053
46.0229574014,-118.4933423751
65.7529783525,-144.9594591229
59.4511298969,-137.2680440152
67.8563431057,-162.4148875232
44.576360089,-114.4252256992
47.2974496368,-112.6272656859
67.7961789678,-149.7169628706
35.6156096923,-84.4790560533
51.9713126895,178.3192481297
46.1547160667,-112.5804321743
50.0134651821,-119.6649747327
45.757597552,-113.6891326286
37.9998044,-110.1205251449
44.45824084,-120.9611424456
58.3925818249,-151.606191442
40.266175,-116.3026884445
58.5410889678,-137.1151928706
59.8355004645,-146.2664115148
47.9826207842,-113.6130650902
59.1328589678,-143.0508228706
36.3517443571,-91.7928148227
34.7422896129,-97.5737648066
42.31555558,-111.6936274817
33.4021222222,-96.6576506563
52.2477135484,-170.6393018089
37.5062111111,-104.7620787204
56.9355989678,-152.4093028706
21.057426655,-71.548476666
14.64958,-94.3416216403
13.70546,-91.8207084298
54.6534833333,184.4810470009
13.87732,-88.7947673184
10.3607666667,-85.2714002271
14.5602,-92.05862624
14.8114555556,-92.6917997929
13.17976,-88.8984699276
42.0723052632,141.8350052506
37.2481340909,71.0545159264
-4.35894,102.7463737801
-4.48094,130.2982712126
7.204,126.5029002067
22.8639368421,120.9732279189
33.8094142857,140.3537082857
2.0422666667,126.9847101273
-7.9737,112.8707205229
22.88534,118.3027582224
38.1501,140.9487185507
3.1555749484,126.2199594326
28.6097,142.266356082
40.9846,26.3323963344
41.3206313787,26.3473403056
39.5001428571,55.1667042764
-5.298625,130.678230915
1.47714,97.1655809179
36.27084,139.9870691963
35.3111875,24.570021792
66.2042763514,-17.7795382446
70.7601666667,-19.260710614
70.7886090909,-15.8466189429
39.57722,22.8683981095
58.0340854487,-164.2875282705
-14.5577173913,-177.7406654069
-13.0132,-172.7508653659
-2.8,151.619060279
-32.9188,-72.3192998307
-8.83216,161.333837842
13.69322,144.765892784
-2.7855833333,158.1715882992
-3.7732555556,153.3273659211
-29.1394025,-177.3409180263
-15.2249,167.7078510234
-4.1638809524,152.0814453429
-3.3127454545,152.5913784043
-19.0833133333,-71.9893709665
-19.5357111111,-71.4388376911
-20.4026155875,-68.6509038294
-20.13996,-71.232064237
-51.4038,-23.5720412368
-50.6264,-29.0064122425
-50.7588,-29.6044471132
-50.5001,-28.2359
-50.3774,-31.6610292883
-50.1254,-28.576128522
-50.4202,-30.7744364974
-41.2838,-14.2260351496
-50.5137,64.2930563455
-50.5483,-24.5354700806
-50.5626,-24.8392648001
-50.2669,-24.0627665075
-50.6849,-31.2411558624
-51.3137,-27.0001692221
-50.4767,-28.3143016327
-50.4397,-31.7325713113
-50.0175,-22.3042005925
-50.209,-22.7461508951
-50.31,-28.6933802282
-50.9581,-19.764317751
-50.5485,-24.9333940623
-50.6378,-30.0194775797
-50.6978,-31.2758214738
-50.4039,-28.2151523959
-50.432,-24.6629716482
-50.5013,-30.8904639058
-50.5964,-28.1884384072
-50.3598,-23.3221116922
-50.0418,-24.1484204398
-50.3693,-20.2843380167
-50.8033,-24.9163721151
-60.0743,-60.3998547578
-50.7486,-18.3200885685
-50.632,-23.6819154016
-51.5108,-23.4472984124
-52.3145,-21.1946961023
-51.2226,-22.5843653907
-50.7813,-22.6278468907
-41.1177,-12.9344942958
-50.7072,-18.1590112885
65.7259336,-153.5326896967
53.8861842,-170.2187845761
33.9527,-111.6107927785
38.497,-129.3278360519
33.5390333,-123.5252031962
32.8102567,-113.328870441
33.55195,-120.1821713271
36.0688853,-122.6753766103
36.684,-175.23771474
33.6124333,-122.516131629
57.2415389678,-148.1176628706
36.7501,-125.0289129649
41.238,-118.4192229073
33.6009667,-111.3747466729
37.4275,-108.6386625039
38.6668,-107.2279970387
54.3410389678,-166.1808628706
37.0293,-124.3908488104
48.40236306,-124.8061239331
36.636,-109.0626570202
47.68447774,-126.8532769264
40.94323,-109.9009501779
