"lat","long","mag","place","url"
35.7918,0.247,4.9,"21km SE of Mostaganem, Algeria","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qz78"
-26.9894,26.7435,4.9,"7km E of Orkney, South Africa","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfsi"
30.2029,32.3755,4.2,"29km NNW of Suez, Egypt","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rud7"
30.6537,31.7603,4.3,"4km NNE of Al Qurayn, Egypt","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rw2e"
-26.4749,27.7395,4.6,"12km W of Orange Farm, South Africa","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s561"
35.678,0.1576,4.2,"28km SSE of Mostaganem, Algeria","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s56s"
0.3616,29.8529,4.5,"7km SW of Margherita, Uganda","http://earthquake.usgs.gov/earthquakes/eventpage/usb000srwl"
-15.0266,41.4585,4.8,"77km E of Ilha de Mocambique, Mozambique","http://earthquake.usgs.gov/earthquakes/eventpage/usc000svb4"
-4.8931,29.5096,4.8,"13km W of Kigoma, Tanzania","http://earthquake.usgs.gov/earthquakes/eventpage/usc000sw6h"
-5.43,29.5117,4.3,"62km SSW of Kigoma, Tanzania","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sybd"
36.8506,3.1608,5.6,"11km NNW of Bordj el Kiffan, Algeria","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rz1p"
-26.9862,26.7415,5.3,"6km E of Orkney, South Africa","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s0b3"
-5.3618,35.9398,5.1,"53km SSE of Kondoa, Tanzania","http://earthquake.usgs.gov/earthquakes/eventpage/usb000ss3p"
-10.971,29.6957,5.3,"46km NNE of Samfya, Zambia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000stin"
