"lat","long","mag","place","url"
-59.0648,-25.6248,4.7,"51km E of Bristol Island, South Sandwich Islands","http://earthquake.usgs.gov/earthquakes/eventpage/usc000raen"
-55.4934,-28.3224,4.9,"151km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rbal"
-55.3948,-28.7033,4.9,"172km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnjd"
-55.3991,-28.2359,4.9,"158km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnmz"
-55.4044,-28.0087,4.7,"152km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rpj9"
-55.2074,-27.8619,4.9,"171km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rqem"
-55.2532,-28.3119,4.8,"175km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rr7d"
-56.1428,-27.5818,4.8,"66km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000ryfg"
-57.9788,-25.916,4.9,"122km NNE of Bristol Island, South Sandwich Islands","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rze2"
-55.3667,-28.3077,4.6,"163km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzmu"
-56.4173,-26.9067,4.9,"36km NNE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s1xd"
-56.9036,-26.3032,4.8,"59km ESE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sagy"
-56.1159,-26.7902,4.8,"69km NNE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sc2c"
-56.5719,-26.964,4.7,"20km NE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000slwb"
-55.8867,-29.0362,4.8,"145km NW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000srt0"
-56.0817,-27.2248,4.9,"68km N of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000swby"
-55.3967,-28.1311,4.9,"156km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000t3zr"
-57.0825,-25.0162,5.0,"139km ESE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000quai"
-57.085,-25.3856,5.4,"118km ESE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qvt4"
-57.143,-25.5071,5.0,"114km ESE of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qwmp"
-57.8441,-25.9645,5.1,"136km NNE of Bristol Island, South Sandwich Islands","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxqm"
-55.3955,-28.3273,5.5,"161km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qzb9"
-55.4898,-28.3488,5.1,"152km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnh1"
-55.4298,-28.5438,5.1,"164km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnh2"
-55.27,-28.1465,5.1,"169km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnir"
-55.2419,-28.2996,5.0,"176km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnjl"
-55.4294,-28.0491,5.6,"151km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnju"
-55.387,-28.1325,5.7,"157km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnjw"
-55.3473,-28.3138,5.1,"165km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rnl3"
-55.2054,-28.3216,5.0,"180km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rntw"
-55.3774,-28.439,5.2,"166km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rpgl"
-55.3848,-28.008,5.5,"154km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rsej"
-55.2942,-27.8737,5.2,"162km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rsf0"
-55.3648,-27.4746,5.0,"149km N of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000ryvw"
-55.5164,-27.8076,5.4,"137km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000ryxz"
-55.4072,-28.356,5.6,"160km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzgn"
-55.4854,-28.4435,5.0,"155km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzm6"
-55.3903,-28.016,5.1,"154km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s3rl"
-55.3868,-28.5415,5.4,"168km NNW of Visokoi Island,","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5w9"
