"lat","long","mag","place","url"
35.085,135.7818,3.8,"6km NNE of Kamigyo-ku, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000redd"
34.4206,68.9852,3.7,"11km ENE of Maidan Shahr, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sqt0"
30.042,140.3414,4.7,"Izu Islands, Japan region","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qumd"
26.4569,142.3864,4.7,"71km SSE of Chichi-shima, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000quch"
41.0504,142.0779,4.5,"72km NE of Misawa, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qula"
-4.2728,122.848,4.5,"53km SE of Kendari, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qwkd"
-7.7614,104.6756,4.5,"148km SW of Tugu Hilir, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxp9"
-8.8151,125.235,4.8,"35km WNW of Ainaro, East Timor","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxw1"
29.4599,50.8924,4.5,"38km NW of Borazjan, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxxc"
29.5364,50.8372,4.4,"31km E of Bandar-e Ganaveh, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qy04"
36.674,70.7588,4.6,"22km SSW of Jarm, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qy3c"
19.0258,121.5326,4.6,"60km NE of Namuac, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qzbp"
-4.5927,133.6254,4.5,"145km NNW of Dobo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qzyc"
2.1686,96.5833,4.8,"41km SSE of Sinabang, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r03k"
9.193,122.242,4.7,"46km SW of Colipapa, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r05u"
-7.8461,123.0925,4.1,"80km NNE of Palue, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r0sp"
4.2808,125.5354,4.5,"124km S of Sarangani, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r0sy"
-6.9608,102.637,4.6,"237km SW of Biha, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r0xa"
39.5397,143.6015,4.5,"142km E of Miyako, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r0xs"
-7.0472,102.5498,4.8,"250km SW of Biha, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r0y9"
25.9394,97.6454,4.2,"66km NNE of Myitkyina, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r23p"
25.9181,125.748,4.7,"132km NNE of Hirara, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2di"
1.5862,121.5791,4.3,"49km NNE of Kali, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r12a"
30.5448,35.1641,4.1,"35km ESE of Mizpe Ramon, Israel","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2f5"
40.4133,25.9081,4.8,"23km N of Gokceada, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2nx"
-7.9908,106.5439,4.5,"65km SSW of Buniasih, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r37j"
19.2622,121.0694,4.5,"72km N of Claveria, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3a4"
-7.7566,127.7976,4.2,"260km ENE of Dili, East Timor","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3c0"
40.4127,26.0883,4.5,"28km NNE of Gokceada, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3dw"
40.3808,26.0695,4.4,"24km NE of Gokceada, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3dz"
23.0317,121.2593,4.9,"32km NNE of Taitung City, Taiwan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3ep"
36.5346,70.4098,4.4,"49km E of Farkhar, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3fq"
5.8893,125.8494,4.8,"22km ESE of Culaman, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3l0"
36.2785,69.7677,4.0,"33km SSW of Farkhar, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3ue"
-7.4842,128.361,4.9,"Kepulauan Barat Daya, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3yy"
2.5551,95.8833,4.7,"55km W of Sinabang, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r48s"
-7.9675,122.245,4.9,"65km NNW of Nebe, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r569"
5.9205,126.4184,4.5,"55km SSE of Pondaguitan, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r6f0"
-6.5526,103.0123,4.9,"176km SW of Biha, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r6iv"
21.9086,121.6984,4.6,"99km E of Hengchun, Taiwan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r6mc"
33.412,139.3472,4.7,"55km NW of Hachijo-jima, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8dh"
4.382,126.0846,4.7,"132km SSE of Sarangani, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8xh"
24.8776,123.2896,4.7,"54km NNE of Yonakuni, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8y9"
