"lat","long","mag","place","url"
46.0546,13.8505,3.4,"12km SW of Cerkno, Slovenia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8h1"
49.1055,-2.5355,3.9,"32km WSW of Saint Helier, Jersey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rrzr"
44.4472,16.2807,3.9,"26km SE of Orasac, Bosnia and Herzegovina","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8b4"
43.9065,21.2553,3.0,"8km S of Jagodina, Serbia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000sws8"
37.37,26.82,3.8,"24km N of Agia Marina, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000t1er"
40.9129,19.8857,4.5,"12km NNW of Kucove, Albania","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qw19"
39.5224,24.1875,4.4,"49km NNE of Patitirion, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxle"
40.3041,25.6303,4.5,"24km SE of Kamariotissa, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2iq"
40.0003,24.3356,4.5,"29km SSE of Karyes, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2sa"
40.0084,24.2593,4.5,"25km ESE of Sarti, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r34s"
38.5556,20.5995,4.4,"19km SSW of Nidri, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3r2"
40.2421,25.1388,4.1,"38km SW of Kamariotissa, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r4mk"
44.8429,149.7192,4.9,"151km ESE of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r59a"
70.8438,139.7606,4.8,"172km N of Deputatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8g7"
49.75,155.9167,4.9,"104km S of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8ga"
40.0839,24.3442,4.4,"21km SSE of Karyes, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8gh"
50.9467,159.2992,4.5,"203km ESE of Ozernovskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8z3"
54.9982,165.5624,4.9,"35km SW of Nikol'skoye, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9f6"
50.1866,12.3976,4.3,"3km NE of Skalna, Czech Republic","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9ff"
36.0489,-3.4091,4.5,"75km S of El Varadero, Spain","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra1b"
43.5518,45.4888,4.7,"3km SW of Kalinovskaya, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra1l"
60.2843,171.0106,4.8,"271km E of Tilichiki, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra4t"
39.8116,16.0028,4.1,"8km S of Mormanno, Italy","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rb2w"
39.1713,23.7035,4.3,"5km NNW of Skopelos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc1e"
39.8742,16.1169,4.4,"4km NNW of Morano Calabro, Italy","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc2y"
39.7756,24.0685,4.2,"30km SSE of Sikia, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc72"
