"lat","long","mag","place","url"
47.346,-122.406,0.9,"7km WNW of Federal Way, Washington","http://earthquake.usgs.gov/earthquakes/eventpage/uw60846387"
59.8026,-152.8557,0.9,"57km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11369281"
60.7274,-148.4659,1.1,"12km ESE of Whittier, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11383310"
59.0909,-153.9686,1.8,"91km SE of Old Iliamna, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11280459"
58.8816,-152.9031,1.7,"114km SW of Homer, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11287793"
59.5601,-153.0401,1.9,"72km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11287894"
60.8224,-148.3352,1.3,"19km ENE of Whittier, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11296496"
59.1947,-150.0146,1.7,"94km SE of Fritz Creek, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11301232"
59.5506,-153.0642,1.9,"73km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11317508"
33.9158333,-118.7226667,1.44,"12km SE of Malibu, California","http://earthquake.usgs.gov/earthquakes/eventpage/ci15527265"
60.2916,-148.1614,1.7,"60km SSE of Whittier, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11332870"
59.6342,-149.9219,1.5,"58km SSW of Seward, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11338731"
59.6344,-152.8495,1.3,"59km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11347241"
59.3749,-152.9689,1.9,"78km SW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11348999"
59.639,-152.9068,2.5,"62km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11353604"
59.9878,-148.29,1.7,"64km ESE of Bear Creek, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11357859"
58.9568,-152.9697,1.8,"111km SW of Homer, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11361683"
59.6874,-153.0297,1.3,"68km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11362698"
48.9295,-125.1405,1.1,"30km E of Ucluelet, Canada","http://earthquake.usgs.gov/earthquakes/eventpage/uw60852067"
59.0599,-153.0613,1.6,"106km SW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11376199"
59.6477,-152.9488,2.2,"64km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11266719"
59.8343,-153.0605,2.5,"69km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11274850"
59.7152,-148.8735,2.6,"53km SE of Seward, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11276920"
58.7735,-152.9746,2.2,"114km NNW of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11278327"
58.5552,-153.598,2.8,"105km NNW of Kodiak Station, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11279647"
59.5359,-153.3675,2.5,"90km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11280497"
19.311,-66.4813,2.9,"93km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14153004"
59.0952,-153.0664,2.8,"103km SW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11287999"
19.2716,-67.7995,2.5,"99km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14164009"
19.2756,-65.319,2.9,"107km N of Culebra, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14164014"
52.3804,-163.3671,2.1,"252km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11291614"
59.1441,-145.5272,2.9,"56km SE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11293967"
59.6841,-152.8472,2.2,"58km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11294310"
19.3185,-67.7322,2.8,"107km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14169003"
19.3257,-67.8165,2.6,"103km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14169012"
19.2509,-67.7546,2.9,"100km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14169014"
59.4525,-145.4778,2.4,"48km E of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11295639"
19.3766,-67.7768,2.9,"110km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14170006"
59.3484,-150.2156,2.6,"74km SE of Fritz Creek, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11296207"
52.629,-163.6625,2.3,"218km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11300100"
57.922,-151.6349,2.1,"48km ENE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11304790"
58.5179,-153.7078,2.2,"Kodiak Island region, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11305438"
52.397,-163.397,2.7,"250km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11306852"
59.5342,-153.0146,2.3,"71km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11309806"
59.6407,-153.0467,2.0,"70km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11313124"
32.8345,-117.6551667,2.03,"35km W of La Jolla, California","http://earthquake.usgs.gov/earthquakes/eventpage/ci37237728"
57.9479,-151.6646,2.0,"47km ENE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11314029"
52.4188,-164.5065,2.3,"208km SSE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11314078"
61.5315,-148.4723,1.0,"27km ESE of Lazy Mountain, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11314176"
19.1236,-66.547,2.6,"73km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14183005"
18.8845,-65.7546,2.4,"51km N of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14184003"
18.9076,-65.7714,2.6,"53km N of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14184001"
59.7569,-152.8315,2.8,"56km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11317953"
58.9617,-152.8186,2.1,"104km SW of Homer, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11318676"
52.5011,-162.378,2.9,"270km SSE of False Pass, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11319090"
59.8548,-152.7797,2.4,"53km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11320574"
59.7574,-152.792,2.6,"54km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11321630"
59.1101,-153.7542,2.1,"97km SE of Old Iliamna, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11326951"
52.667,-164.022,2.5,"200km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11328044"
59.182,-144.3732,2.0,"114km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11329398"
18.9465,-66.4756,2.7,"53km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14199007"
58.2993,-152.9779,2.3,"63km NNW of Kodiak Station, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11331258"
50.2875,-173.6448,2.2,"215km S of Atka, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11331575"
59.5614,-153.2437,2.5,"83km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11332724"
62.6992,-149.445,0.4,"54km NE of Talkeetna, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11334288"
32.4716667,-117.6781667,2.28,"52km WSW of Coronado, California","http://earthquake.usgs.gov/earthquakes/eventpage/ci15530417"
58.5033,-142.661,2.1,"174km S of Cape Yakataga, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11344183"
59.161,-153.0582,3.0,"97km SW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11346181"
56.8391,-148.6366,2.5,"250km ESE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11347562"
59.9257,-149.101,2.0,"27km SE of Seward, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11348733"
19.5618,-67.2738,2.9,"119km N of San Antonio, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14219000"
59.4661,-152.876,2.2,"68km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11350916"
59.674,-148.5123,2.8,"70km SE of Seward, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11353019"
52.6289,-164.101,2.3,"201km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11354530"
19.6303,-65.2873,2.8,"145km NNE of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14226006"
61.5162,-148.5107,0.4,"26km ESE of Lazy Mountain, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11357544"
59.5598,-152.9235,2.7,"66km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11362847"
59.4499,-152.9126,2.1,"71km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11363242"
19.0188,-66.844,2.8,"58km N of Hatillo, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14234003"
59.5411,-152.9864,2.2,"70km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11365786"
19.1257,-66.4335,2.8,"73km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14237003"
58.4478,-153.8189,2.2,"101km N of Larsen Bay, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11369243"
59.753,-152.7946,2.4,"54km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11369374"
44.3935,-125.8082,2.5,"138km W of Waldport, Oregon","http://earthquake.usgs.gov/earthquakes/eventpage/uw60862966"
59.5317,-145.4632,2.1,"50km ENE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11369870"
59.8665,-153.0975,2.0,"71km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11371644"
59.294,-145.4448,2.1,"52km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11372450"
18.961,-66.3629,2.9,"54km N of Brenas, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14243003"
52.6426,-163.0192,2.1,"247km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11378017"
59.7732,-152.7721,2.0,"52km W of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11379088"
59.5826,-152.8735,2.6,"62km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11379471"
32.424,-117.7461667,2.3,"60km WSW of Coronado, California","http://earthquake.usgs.gov/earthquakes/eventpage/ci37264424"
19.141,-66.491,2.6,"75km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14253004"
59.2313,-145.3991,2.8,"57km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11386825"
58.8731,-145.6702,2.6,"73km SSE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11386850"
58.1306,-143.0195,2.6,"218km S of Cape Yakataga, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11398654"
58.2803,-142.4168,2.3,"198km S of Cape Yakataga, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11399360"
60.3926,-153.2408,1.6,"29km WSW of Redoubt Volcano, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11401242"
59.6672,-145.2496,2.2,"66km ENE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11432544"
57.1996,-150.2201,2.7,"146km ESE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11434171"
32.1411667,-117.6271667,2.61,"59km WSW of Rosarito, Mexico","http://earthquake.usgs.gov/earthquakes/eventpage/ci37061039"
18.9137,-65.4876,2.9,"64km NNE of Luquillo, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14330005"
18.9838,-65.2226,2.3,"75km N of Culebra, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14331001"
19.1508,-66.419,2.6,"76km N of Tierras Nuevas Poniente, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14333000"
19.5284,-66.3032,2.9,"117km N of Brenas, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14333005"
18.7467,-66.1781,2.1,"31km NNW of San Juan, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14336004"
18.9235,-65.958,2.6,"52km NNE of San Juan, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14338001"
19.3194,-65.918,3.2,"96km NNE of San Juan, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14152008"
19.5804,-65.8772,3.0,"125km N of San Juan, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14156005"
50.8018,-169.5824,3.0,"217km SSE of Yunaska Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11285117"
52.6682,-163.9114,3.2,"204km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11287474"
43.2173,-126.7323,3.2,"189km W of Bandon, Oregon","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rd9g"
19.3995,-65.8065,3.2,"107km N of Loiza, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14163001"
19.263,-67.7498,3.0,"102km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14164007"
56.4873,-149.0001,3.2,"252km ESE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11291886"
57.1802,-149.5181,2.9,"186km ESE of Kodiak, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11291901"
53.3537,-160.705,3.0,"176km SSW of Chernabura Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11293989"
19.2029,-67.752,3.4,"97km NE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14169007"
19.3631,-65.8805,3.2,"Puerto Rico region","http://earthquake.usgs.gov/earthquakes/eventpage/pr14169029"
59.2351,-145.6253,3.5,"45km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11295606"
59.2316,-145.6032,3.2,"47km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11295622"
44.1535,-128.9535,3.9,"Off the coast of Oregon","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rij8"
19.5007,-66.2731,3.0,"114km N of Brenas, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14174007"
19.4733,-65.363,3.1,"126km NNE of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14179006"
59.2231,-145.6238,3.0,"46km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11309501"
19.2828,-65.0828,3.0,"105km N of Charlotte Amalie, U.S. Virgin Islands","http://earthquake.usgs.gov/earthquakes/eventpage/pr14185004"
19.4633,-65.656,3.1,"116km N of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14188009"
57.7022,-142.8003,3.0,"264km S of Cape Yakataga, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11320817"
19.4691,-65.3219,3.4,"127km NNE of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14190004"
32.4698333,-117.7151667,3.18,"55km WSW of Coronado, California","http://earthquake.usgs.gov/earthquakes/eventpage/ci37248888"
19.3859,-65.3216,3.1,"119km NNE of Luquillo, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14207002"
59.5999,-153.0737,2.7,"72km WSW of Anchor Point, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11350933"
59.564,-149.2249,3.4,"61km SSE of Seward, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11357223"
19.4733,-68.0258,3.4,"106km NNE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14231000"
19.4575,-67.874,3.4,"111km NNE of Punta Cana, Dominican Republic","http://earthquake.usgs.gov/earthquakes/eventpage/pr14235006"
19.0867,-66.3926,3.0,"68km N of Brenas, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14237004"
19.0662,-65.5773,3.1,"75km NNE of Vieques, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14240000"
52.5349,-163.194,3.0,"247km SE of Akutan, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11370781"
59.1367,-145.4561,3.3,"59km ESE of Middleton Island, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11371417"
50.5173,-139.6451,3.9,"West of Vancouver Island","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s842"
57.7025,-142.7763,3.2,"264km S of Cape Yakataga, Alaska","http://earthquake.usgs.gov/earthquakes/eventpage/ak11376529"
18.9936,-65.7993,3.3,"62km N of Loiza, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14249010"
19.1116,-65.7679,3.7,"75km N of Suarez, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14249014"
19.1096,-65.7875,3.2,"75km N of Loiza, Puerto Rico","http://earthquake.usgs.gov/earthquakes/eventpage/pr14249019"
