"lat","long","mag","place","url"
10.14,-67.92,3.4,"4km SSE of Los Guayos, Venezuela","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9rf"
-32.786,-71.605,3.6,"26km N of Vina del Mar, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9tp"
-17.8122,-69.3731,4.5,"47km NNE of Putre, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000qxe5"
-8.9032,-74.47,4.7,"58km S of Pucallpa, Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usa000qcbm"
-31.334,-69.2079,4.3,"19km E of Calingasta, Argentina","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r1c0"
-15.2933,-71.9734,4.1,"39km E of Orcopampa, Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r2fk"
-35.7717,-73.7328,4.1,"117km NW of Tome, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r24u"
-23.4276,-69.0149,4.2,"99km SW of San Pedro de Atacama, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3gd"
-19.3905,-70.4705,4.0,"98km NNW of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3id"
-19.362,-70.473,4.0,"99km S of Arica, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3ik"
-0.5759,-77.5147,4.2,"45km WNW of Boca Suno, Ecuador","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r3tk"
-20.8838,-70.4715,4.5,"80km SSW of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r4x4"
-32.2806,-71.6136,4.4,"40km WNW of La Ligua, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r6dd"
-20.2511,-70.8268,4.6,"71km W of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usb000r6pt"
-40.3548,-72.4652,4.6,"42km E of Rio Bueno, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r8y6"
10.3447,-72.775,4.9,"28km E of Manaure Balcon del Cesar, Colombia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9pg"
-23.0429,-70.8625,4.6,"82km NW of Antofagasta, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra0n"
-1.3871,-77.6306,4.7,"40km ENE of Puyo, Ecuador","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra16"
-16.5601,-69.2651,4.6,"23km W of Desaguadero, Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra3h"
3.2111,-76.2763,4.5,"4km NNW of Corinto, Colombia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000razu"
-20.7017,-70.773,4.1,"84km SW of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rb0g"
-19.9874,-71.0298,4.6,"96km WNW of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rb7r"
-24.2057,-66.8997,4.9,"59km W of San Antonio de los Cobres, Argentina","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rbah"
6.8597,-73.1522,4.3,"13km ENE of Zapatoca, Colombia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc0c"
-28.9244,-71.504,4.8,"82km WSW of Vallenar, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc1f"
-7.2753,-75.731,4.8,"northern Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcd3"
-7.2753,-75.731,4.8,"northern Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcd3"
-15.2964,-72.2238,4.5,"13km ESE of Orcopampa, Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcdm"
-35.1504,-71.8516,4.5,"35km NNW of Talca, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rchu"
-19.791,-71.151,4.2,"115km WNW of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rckj"
-31.2804,-66.3882,4.9,"21km ENE of Chepes, Argentina","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcp9"
-32.5889,-71.9218,4.8,"57km NNW of Valparaiso, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcpl"
-31.3844,-68.9493,4.8,"27km NW of Zonda, Argentina","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcs7"
-20.2681,-70.867,4.3,"75km W of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcsl"
6.8125,-73.0805,4.1,"14km NNW of Aratoca, Colombia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rd80"
-16.0853,-75.1713,4.7,"93km SW of Acari, Peru","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rdf5"
-20.9665,-68.9667,4.4,"147km SE of Iquique, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rdvj"
4.1222,-73.8373,4.2,"10km SSW of Guayabetal, Colombia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000redn"
-27.5941,-71.2616,4.7,"95km WSW of Copiapo, Chile","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rew9"
